City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saint-philippe,-21.3585,55.7679,292.92,77,66,4.33,RE,1722559628
1,port alfred,-33.5906,26.891,285.47,91,100,0.89,ZA,1722559650
2,tanjung selor,2.8372,117.3642,299.7,93,85,0.2,ID,1722559673
3,port-aux-francais,-49.35,70.2167,278.05,94,100,16.46,TF,1722559695
4,alotau,-10.3069,150.4462,296.62,94,100,2.41,PG,1722559717
5,kerman,30.2832,57.0788,304.07,18,75,3.09,IR,1722559740
6,phalaborwa,-23.943,31.1411,288.75,85,0,1.2,ZA,1722559762
7,bamboo flat,11.7,92.7167,300.2,94,75,1.03,IN,1722559785
8,praia da vitoria,38.7333,-27.0667,296.35,88,20,0.99,PT,1722559807
9,port mathurin,-19.6833,63.4167,295.41,76,1,3.69,MU,1722559829
10,mogocha,53.7333,119.7667,289.2,48,100,0.54,RU,1722559852
11,talnakh,69.4865,88.3972,292.2,52,86,0.88,RU,1722559874
12,kayangel,8.0823,134.7173,302.01,76,1,6.06,PW,1722559896
13,blackmans bay,-43.0167,147.3167,284.11,74,17,1.34,AU,1722559919
14,pisco,-13.7,-76.2167,289.27,88,75,5.66,PE,1722559941
15,keflavik,64.0049,-22.5624,283.39,81,75,3.6,IS,1722559964
16,redkino,56.6475,36.2967,284.42,99,42,2.49,RU,1722559986
17,ushuaia,-54.8,-68.3,274.96,93,40,1.54,AR,1722560008
18,tot'ma,59.9747,42.7642,287.14,98,100,2.46,RU,1722560031
19,adamstown,-25.066,-130.1015,292.66,88,100,3.51,PN,1722560053
20,grytviken,-54.2811,-36.5092,270.22,84,100,5.14,GS,1722560076
21,prince rupert,54.3161,-130.3201,291.2,66,0,5.14,CA,1722559960
22,smithers,54.7804,-127.1743,295.33,37,20,4.12,CA,1722560120
23,fort bragg,35.139,-79.006,305.47,78,38,2.4,US,1722560143
24,stanley,54.868,-1.6985,286.76,97,20,0.51,GB,1722560165
25,badger,64.8,-147.5333,287.1,78,100,3.6,US,1722560187
26,santana,-0.0583,-51.1817,301.25,78,40,5.14,BR,1722560210
27,olonkinbyen,70.9221,-8.7187,278.31,95,100,8.62,SJ,1722560232
28,puerto baquerizo moreno,-0.9,-89.6,292.74,88,62,3.74,EC,1722560255
29,albany,42.6001,-73.9662,299.09,62,0,2.56,US,1722560277
30,qaqortoq,60.7167,-46.0333,278.73,86,19,2.02,GL,1722560299
31,bethel,41.3712,-73.414,300.61,81,22,0.45,US,1722560082
32,isafjordur,66.0755,-23.124,278.59,96,100,5.54,IS,1722560344
33,hermanus,-34.4187,19.2345,281.93,83,83,2.28,ZA,1722560366
34,laguna,38.421,-121.4238,312.67,19,0,4.63,US,1722560142
35,la passe,45.5549,-0.8967,292.28,84,1,3.83,FR,1722560411
36,mount isa,-20.7333,139.5,296.02,40,0,4.12,AU,1722560434
37,whitstable,51.3607,1.0257,291.55,89,50,1.3,GB,1722560456
38,yakeshi,49.2833,120.7333,291.69,43,100,4.22,CN,1722560478
39,leninskoye,41.7589,69.3864,300.76,25,54,1.72,KZ,1722560501
40,aasiaat,68.7098,-52.8699,274.29,90,76,1.35,GL,1722560523
41,boende,-0.2167,20.8667,296.76,78,8,1.13,CD,1722560545
42,punta arenas,-53.15,-70.9167,278.21,93,100,3.6,CL,1722560568
43,turbat,26.0023,63.044,301.31,80,100,3.23,PK,1722560590
44,invercargill,-46.4,168.35,279.27,92,26,0.45,NZ,1722560613
45,tual,-5.6667,132.75,298.34,87,13,9.26,ID,1722560635
46,kyenjojo,0.6328,30.6214,289.61,92,100,0.42,UG,1722560657
47,weatherford,32.7593,-97.7972,307.64,41,100,2.24,US,1722560702
48,kaiapoi,-43.3783,172.6401,284.57,68,100,3.6,NZ,1722560725
49,carutapera,-1.195,-46.02,298.02,85,14,2.19,BR,1722560747
50,przasnysz,53.0191,20.8803,287.25,93,48,2.91,PL,1722560769
51,whitehorse,60.7161,-135.0538,290.94,56,82,4.92,CA,1722560814
52,zhangye,38.9342,100.4517,293.9,57,99,0.94,CN,1722560836
53,papatowai,-46.5619,169.4708,281.47,64,100,1.43,NZ,1722560859
54,hawaiian paradise park,19.5933,-154.9731,301.89,70,0,4.63,US,1722560881
55,tazacorte,28.629,-17.9293,295.69,84,100,7.2,ES,1722560903
56,priargunsk,50.3691,119.1012,292.29,44,100,2.6,RU,1722560926
57,atafu village,-8.5421,-172.5159,301.08,72,94,8.1,TK,1722560948
58,guarapari,-20.6667,-40.4975,294.2,72,0,0.89,BR,1722560971
59,hsinchu,24.8036,120.9686,305.31,65,8,1.34,TW,1722560993
60,margaret river,-33.95,115.0667,284.77,61,99,1.01,AU,1722561015
61,thompson,55.7435,-97.8558,295.38,46,56,6.69,CA,1722561038
62,yellowknife,62.456,-114.3525,287.27,67,27,3.13,CA,1722561060
63,anadyr,64.75,177.4833,281.43,81,75,6.0,RU,1722561083
64,banda aceh,5.5577,95.3222,301.04,74,100,1.44,ID,1722561127
65,niamey,13.5137,2.1098,301.32,68,100,3.29,NE,1722561150
66,georgetown,5.4112,100.3354,302.11,70,20,1.54,MY,1722561172
67,jamestown,42.097,-79.2353,297.95,88,0,2.06,US,1722561194
68,tiksi,71.6872,128.8694,278.93,58,52,1.93,RU,1722561217
69,bilibino,68.0546,166.4372,282.94,43,8,4.01,RU,1722561239
70,lerwick,60.1545,-1.1494,287.15,91,100,3.14,GB,1722561262
71,mikun',62.3547,50.0771,286.28,97,100,2.02,RU,1722561284
72,la'ie,21.6477,-157.9253,304.13,68,35,2.68,US,1722561306
73,port lincoln,-34.7333,135.8667,285.14,56,99,7.86,AU,1722561329
74,puerto san jose,13.9256,-90.8244,300.86,77,100,1.82,GT,1722561351
75,pagar alam,-4.0167,103.2667,297.42,73,100,0.6,ID,1722561373
76,kamaishi,39.2667,141.8833,299.59,76,38,3.01,JP,1722561396
77,puerto ayora,-0.7393,-90.3518,293.52,84,24,2.97,EC,1722561418
78,puerto natales,-51.7236,-72.4875,275.3,97,100,1.28,CL,1722561441
79,namibe,-15.1961,12.1522,289.5,91,4,2.17,AO,1722561463
80,daru,-9.0763,143.2092,298.41,89,94,8.7,PG,1722561485
81,san francisco,37.7749,-122.4194,300.23,72,40,7.72,US,1722561508
82,hassi messaoud,31.6804,6.0729,305.07,20,0,1.54,DZ,1722561530
83,batouri,4.4333,14.3667,292.49,94,6,1.51,CM,1722561553
